date,time,comp,round,day,venue,result,gf,ga,opponent,poss,attendance,captain,formation,opp_formation,referee,match_report,notes,team
2025-11-18,20:30,Friendlies (M),Friendlies (M),Tue,Neutral,L,0.0,2.0,ec Ecuador,,,Marko Stamenic,4-2-3-1,4-2-2-2,Ismail Elfath,Match Report,,New Zealand
2025-11-15,19:30,Friendlies (M),Friendlies (M),Sat,Neutral,L,1.0,2.0,co Colombia,,,Michael Boxall,4-2-3-1,4-2-3-1,Víctor Rivas,Match Report,,New Zealand
2025-10-14,18:00 (11:00),Friendlies (M),Friendlies (M),Tue,Away,D,1.0,1.0,no Norway,,17652.0,Chris Wood,4-2-3-1,4-1-4-1,Horațiu Feșnic,Match Report,,New Zealand
2025-10-09,20:45 (13:45),Friendlies (M),Friendlies (M),Thu,Away,L,0.0,1.0,pl Poland,,30412.0,Michael Boxall,4-2-3-1,3-4-3,Erik Lambrechts,Match Report,,New Zealand
2025-03-24,19:00 (01:00),WCQ,Third round — Final,Mon,Neutral,W,3.0,0.0,nc New Caledonia,,25132.0,Chris Wood,4-2-3-1,5-4-1,Ben Aukwai,Match Report,,New Zealand
2025-03-21,19:10 (01:10),WCQ,Third round — Semi-finals,Fri,Neutral,W,7.0,0.0,fj Fiji,,20947.0,Chris Wood,4-2-3-1,4-2-2-2,Norbert Hauata,Match Report,,New Zealand
2024-11-18,19:30 (01:30),WCQ,Second round,Mon,Neutral,W,8.0,0.0,ws Samoa,,5327.0,Chris Wood,4-2-3-1,5-4-1,Veer Singh,Match Report,,New Zealand
2024-11-15,19:30 (01:30),WCQ,Second round,Fri,Neutral,W,8.0,1.0,vu Vanuatu,,10113.0,Chris Wood,4-2-3-1,4-3-3,Ben Aukwai,Match Report,,New Zealand
2024-10-11,13:00 (21:00),WCQ,Second round,Fri,Neutral,W,3.0,0.0,pf Tahiti,,1000.0,Chris Wood,4-2-3-1,5-3-2,Médéric Lacour,Match Report,,New Zealand
