team;Matches;Wins;Draws;Losses;Goals_For;Goals_Against;Goal_Difference;Avg_Goals_For;Avg_Goals_Against;Points_Form;Goals For per Game;Goals Against per Game;Win Rate;Form Index;Defense Index;Power Score
Belgium;10;6;4;0;35.0;10.0;25.0;3.5;1.0;22;3.5;1.0;60.0;73.33;9.09;24.21
New Zealand;9;5;1;3;31.0;7.0;24.0;3.44;0.78;16;3.44;0.78;55.56;59.26;11.39;20.94
Egypt;10;7;2;1;17.0;5.0;12.0;1.7;0.5;23;1.7;0.5;70.0;76.67;16.67;17.87
Iran;10;6;2;2;20.0;10.0;10.0;2.0;1.0;20;2.0;1.0;60.0;66.67;9.09;15.91
